Unemployment_Rate : Total
Region, Date, Frequency, Estimated Unemployment Rate (%), Estimated Employed, Estimated Labour Participation Rate (%)
India, 01-12-2019, W, 6.44, 405626665.00, 42.21
India, 08-12-2019, W, 8.25, 402792351.00, 42.72
India, 15-12-2019, W, 7.62, 409151058.00, 43.08
India, 22-12-2019, W, 8.79, 405690675.00, 43.24
India, 29-12-2019, W, 7.03, 403607406.00, 42.19
India, 05-01-2020, W, 7.51, 405448385.00, 42.58
India, 12-01-2020, W, 7.67, 413106485.00, 43.44
India, 19-01-2020, W, 6.56, 417705056.00, 43.38
India, 26-01-2020, W, 6.60, 412384908.00, 42.83
India, 02-02-2020, W, 7.42, 412152746.00, 43.16
India, 09-02-2020, W, 8.52, 405774010.00, 42.99
India, 16-02-2020, W, 8.10, 407211495.00, 42.92
India, 23-02-2020, W, 7.42, 413010706.00, 43.20
India, 01-03-2020, W, 8.11, 398409779.00, 41.96
India, 08-03-2020, W, 7.71, 402077779.00, 42.14
India, 15-03-2020, W, 6.74, 407704814.00, 42.27
India, 22-03-2020, W, 8.41, 404074739.00, 42.64
India, 29-03-2020, W, 23.81, 309222043.00, 39.21
India, 05-04-2020, W, 23.38, 286463911.00, 36.10
India, 12-04-2020, W, 24.00, 279748657.00, 35.53
India, 19-04-2020, W, 26.19, 270729608.00, 35.39
India, 26-04-2020, W, 21.05, 289551903.00, 35.37
India, 03-05-2020, W, 27.11, 273606584.00, 36.18
India, 10-05-2020, W, 23.97, 296378009.00, 37.56
India, 17-05-2020, W, 24.01, 306498624.00, 38.84
