Nature,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Acid Attack ,1,2,0,0,0,2,0,0,0,0,0,0,5
Bigamy / Polygamy ,10,7,6,6,18,8,0,0,0,0,0,0,55
Cyber Crime against women ,32,21,37,55,73,46,0,0,0,0,0,0,264
Denial of Maternity Benefits to women ,9,10,13,2,6,6,0,0,0,0,0,0,46
Dowry death ,32,17,18,9,27,16,0,0,0,0,0,0,119
Free legal aid for women ,5,7,4,0,6,1,0,0,0,0,0,0,23
Gender Discrimination including equal right to education & work ,1,0,0,1,1,0,0,0,0,0,0,0,3
Harassment of married women/Dowry harassment ,267,221,203,62,159,91,0,0,0,0,0,0,1003
Indecent Representation of Women ,2,1,1,1,8,0,0,0,0,0,0,0,13
Not Categorized yet ,0,0,0,3,2,59,0,0,0,0,0,0,64
Outraging modesty of women/Molestation ,112,103,103,28,140,86,0,0,0,0,0,0,572
Police Apathy against women ,81,89,83,24,85,38,0,0,0,0,0,0,400
Protection of Women against Domestic Violence ,271,302,298,315,393,184,0,0,0,0,0,0,1763
Rape/Attempt to Rape ,142,112,90,12,54,37,0,0,0,0,0,0,447
Right to exercise choice in marriage/Honour Crimes ,41,28,34,5,26,20,0,0,0,0,0,0,154
Right to live with dignity ,374,436,388,238,472,237,0,0,0,0,0,0,2145
Sexual Assault ,12,10,19,4,1,2,0,0,0,0,0,0,48
Sexual Harassment ,22,20,19,11,8,16,0,0,0,0,0,0,96
Sexual Harassment of Women at workplace ,21,18,19,8,5,3,0,0,0,0,0,0,74
Stalking / Voyeurism ,18,16,9,15,12,7,0,0,0,0,0,0,77
Trafficking / Prostitution of womentdCleck Here to see sub-categories ,6,4,3,1,2,1,0,0,0,0,0,0,17
Women's right of custody of children in the event of divorce ,3,0,0,0,2,0,0,0,0,0,0,0,5
Total ,1462,1424,1347,800,1500,860,0,0,0,0,0,0,7393
