State,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total
Andaman and Nicobar Islands ,0,0,1,1,0,2,1,0,0,0,0,0,5
Andhra Pradesh ,4,5,13,11,10,8,11,15,11,12,14,17,131
Arunachal Pradesh ,0,0,1,0,1,0,0,1,0,0,0,0,3
Assam ,3,0,4,5,2,2,5,6,3,3,4,2,39
Bihar ,40,40,79,80,53,35,45,55,30,47,39,61,604
Chandigarh ,4,3,3,2,5,1,1,1,6,2,2,4,34
Chhattisgarh ,10,4,19,20,9,6,11,6,11,5,6,15,122
Dadra and Nagar Haveli ,1,0,0,3,0,2,1,0,1,0,0,0,8
Daman & Diu ,0,1,0,1,0,0,0,0,1,0,1,0,4
Delhi ,169,176,246,302,283,291,301,231,277,206,185,247,2914
Goa ,2,1,4,0,3,0,2,0,0,0,0,0,12
Gujarat ,13,7,21,22,10,14,11,14,9,6,22,11,160
Haryana ,65,73,108,126,89,88,89,97,81,71,98,103,1088
Himachal Pradesh ,10,7,7,7,5,4,5,8,1,7,8,4,73
Jammu and Kashmir ,1,1,1,7,3,4,6,4,6,4,3,4,44
Jharkhand ,20,22,39,30,46,21,24,29,12,20,19,37,319
Karnataka ,10,16,17,11,16,10,20,8,14,7,9,11,149
Kerala ,4,4,3,7,4,3,4,4,1,4,6,4,48
Madhya Pradesh ,49,69,95,84,71,62,83,52,67,54,79,100,865
Maharashtra ,49,44,76,59,45,51,39,55,40,53,58,60,629
Manipur ,0,0,0,0,0,1,1,0,0,0,0,0,2
Meghalaya ,0,1,1,0,1,0,0,0,0,1,1,0,5
Mizoram ,0,0,0,0,0,0,0,0,2,0,0,0,2
Nagaland ,1,0,0,1,1,0,0,0,1,0,0,0,4
Odisha ,9,5,11,3,12,9,6,12,10,7,10,14,108
Pondicherry ,1,1,1,0,0,1,2,0,0,0,1,1,8
Punjab ,17,17,29,32,25,32,35,25,32,27,9,27,307
Rajasthan ,109,96,161,181,148,121,167,110,97,129,145,168,1632
Tamil Nadu ,9,15,13,19,14,13,11,22,11,16,10,22,175
Telangana ,2,11,5,5,3,8,4,7,8,0,5,7,65
Tripura ,0,0,0,1,0,1,0,1,0,1,1,0,5
Uttar Pradesh ,738,289,559,702,820,656,624,495,348,518,555,1333,7637
Uttarakhand ,26,23,45,59,28,17,23,24,26,29,37,53,390
West Bengal ,10,16,24,28,16,22,22,19,23,20,16,30,246
Total ,1376,947,1586,1809,1723,1485,1554,1301,1129,1249,1343,2335,17837
