links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Banglore Rural,1,0,2,2,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Belgaum,1,1,2,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Bellary,0,0,0,1,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Bengaluru,17,14,15,25,42,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Bidar,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Chamarajanagar,0,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Chickmagalur,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Chikballapur,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Dakshina Kannada,0,1,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Davanagere,1,0,1,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Dharwad,0,1,1,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Gulbarga,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Hassan,1,0,0,1,0,1
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Haveri,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Kolar,1,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Koppal,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Mandya,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Mysore,1,0,0,0,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Raichur,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Shimoga,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Udupi,2,3,1,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Uttar Kannada,0,1,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Vijayapur,0,0,1,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=17,Karnataka,Total,27,23,26,35,56,2
