links_link,links_District_State,links_District_name,links_District_Jan,links_District_Feb,links_District_March,links_District_April,links_District_May,links_District_June
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Anugul,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Balasore,3,0,1,0,2,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Bhadrak,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Bhubaneswar - Dist. Khordha,0,2,0,2,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Cuttack,1,1,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Dhenkanal,1,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Gajapati,0,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Ganjam,0,0,1,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Jagatsinghpur,0,1,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Jajpur,0,0,0,2,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Kalahandi,0,0,0,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Kendrapara,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Khordha,0,0,2,2,3,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Koraput,0,0,0,0,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Mayurbhanj,0,1,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Nabarangpur,0,0,1,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Puri,0,0,1,1,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Subarnpur - Sonpur,1,0,0,0,0,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Sundargarh,1,0,1,1,1,0
http://164.100.58.238/frmReportStateDistrict.aspx?Year=2020&StateID=26,Odisha,Total,9,7,9,9,9,0
