,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,Year
Unnamed: 558,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Total,2018
Bigamy or Polygamy.20,8,8,26,21,13,17,11,10,11,8,20,9,162,2018
Cyber Crime against women.15,26,24,14,41,35,33,31,47,33,26,36,29,375,2018
Denial of Maternity Benefits to women.2,0,0,0,0,0,0,0,0,0,0,1,0,1,2018
Dowry harassment or dowry death.5,146,200,316,402,296,305,236,235,233,208,502,167,3246,2018
Free legal aid for women.7,27,22,23,49,29,35,22,26,10,17,52,34,346,2018
Gender Discrimination including equal right to education & work.16,2,2,4,6,0,9,4,5,6,5,5,6,54,2018
Harassment of married womenorDowry harassment.3,0,0,0,0,0,1,0,0,0,1,1,0,3,2018
Indecent Representation of Women.9,5,11,5,11,2,14,6,16,4,10,12,7,103,2018
Outraging Modesty of Women.18,49,109,68,104,133,107,76,61,73,92,236,57,1165,2018
Police Apathy against women.20,103,110,223,244,201,181,96,166,161,193,588,223,2489,2018
Privacy of women and rights thereof.5,6,17,4,27,7,11,12,15,10,17,15,9,150,2018
Protection of Women against Domestic Violence.2,0,0,0,0,0,0,1,0,0,0,0,0,1,2018
Reproductive health rights of women.4,4,6,7,14,10,5,11,7,5,3,15,3,90,2018
Right to Exercise Choice in marriage.8,20,45,46,58,42,43,20,26,38,33,67,32,470,2018
Right to live with dignity.22,450,722,658,876,859,633,457,529,462,471,1265,403,7785,2018
Right to live with dignity.23,0,1,0,1,0,2,0,0,1,0,0,0,5,2018
Sex selective abortion or female foeticide or amniocentesis.18,2,6,4,3,2,3,2,8,5,9,8,3,55,2018
Sexual harassment including sexual harassment at workplace.18,44,70,102,112,71,96,53,77,56,87,123,74,965,2018
Sexual Harassment of Women at workplace.2,0,0,0,0,0,1,0,0,0,0,0,0,1,2018
Stalking or Voyeurism.7,9,21,11,19,7,14,6,10,11,23,17,10,158,2018
"Traditional practices derogatory to women rights i.e. sati pratha, devdasi pratha, witch hunting.8",6,1,2,0,1,1,0,4,1,3,3,0,22,2018
Trafficking or Prostitution of women.11,3,8,18,21,8,4,6,14,7,5,23,4,121,2018
Violence against women.8,92,143,211,270,210,185,137,160,126,120,344,84,2082,2018
